from_stop_id,to_stop_id,transfer_type,min_transfer_time
8014534,8014534,2,240
8014541,8014541,2,300
8014545,8014545,2,300
8014546,8014546,2,300
8014547,8014547,2,300
8014554,8014554,2,180
8014555,8014555,2,300
8014556,8014556,2,300
8014558,8014558,2,180
8014570,8014570,2,300
8014571,8014571,2,180
8014580,8014580,2,300
8014581,8014581,2,300
8014582,8014582,2,300
8014583,8014583,2,300
8014584,8014584,2,300
8014586,8014586,2,180
8014597,8014597,2,300
8014599,8014599,2,300
8014601,8014601,2,300
8014607,8014607,2,300
8014616,8014616,2,300
8014624,8014624,2,300
8014625,8014625,2,300
8015485,8015485,2,360
8015577,8015577,2,300
8020347,8020347,2,480
8021703,8021703,2,300
8023179,8023179,2,420
8029012,8029012,2,300
8029034,8029034,2,420
8029055,8029055,2,240
8029060,8029060,2,240
8029066,8029066,2,300
8029086,8029086,2,240
8029103,8029103,2,300
8029112,8029112,2,300
8029115,8029115,2,180
8029126,8029126,2,180
8029148,8029148,2,300
8029149,8029149,2,180
8029153,8029153,2,180
8029156,8029156,2,300
8029159,8029159,2,300
8029162,8029162,2,180
8029163,8029163,2,300
8029165,8029165,2,300
8029166,8029166,2,300
8029167,8029167,2,300
8029168,8029168,2,300
8029170,8029170,2,300
8029180,8029180,2,240
8029184,8029184,2,120
8029186,8029186,2,300
8029189,8029189,2,300
8029227,8029227,2,300
8029228,8029228,2,300
8029230,8029230,2,300
8029232,8029232,2,300
8029233,8029233,2,300
8029234,8029234,2,180
8029235,8029235,2,300
8029236,8029236,2,300
8029238,8029238,2,300
8029240,8029240,2,300
8029241,8029241,2,300
8029243,8029243,2,300
8029246,8029246,2,300
8029249,8029249,2,180
8029250,8029250,2,180
8029253,8029253,2,120
8029254,8029254,2,180
8029258,8029258,2,300
8029259,8029259,2,300
8029260,8029260,2,300
8029261,8029261,2,300
8029262,8029262,2,300
8029263,8029263,2,300
8029299,8029299,2,120
8029309,8029309,2,180
8029318,8029318,2,180
8029321,8029321,2,300
8029322,8029322,2,120
8029323,8029323,2,300
8029324,8029324,2,300
8029325,8029325,2,180
8029326,8029326,2,300
8029335,8029335,2,300
8029338,8029338,2,300
8029339,8029339,2,300
8029340,8029340,2,120
8029341,8029341,2,180
8029343,8029343,2,300
8029344,8029344,2,120
8029345,8029345,2,180
8029346,8029346,2,240
8029348,8029348,2,300
8029350,8029350,2,180
8029351,8029351,2,240
8029353,8029353,2,300
8029355,8029355,2,120
8029367,8029367,2,300
8029383,8029383,2,180
8029394,8029394,2,240
8029396,8029396,2,240
8029398,8029398,2,180
8029399,8029399,2,180
8029411,8029411,2,180
8029429,8029429,2,180
8029433,8029433,2,300
8029434,8029434,2,120
8029436,8029436,2,300
8029441,8029441,2,120
8029525,8029525,2,240
8029549,8029549,2,180
8029697,8029697,2,300
8029698,8029698,2,300
8029699,8029699,2,300
8029700,8029700,2,300
8029701,8029701,2,300
8029702,8029702,2,180
8029705,8029705,2,300
8029706,8029706,2,60
8029707,8029707,2,300
8029708,8029708,2,300
8029709,8029709,2,300
8029710,8029710,2,300
8029711,8029711,2,300
8029712,8029712,2,60
8029713,8029713,2,300
8029714,8029714,2,300
8029715,8029715,2,300
8029716,8029716,2,300
8030446,8030446,2,300
8035252,8035252,2,300
8038379,8038379,2,300
8039116,8039116,2,300
8042302,8042302,2,300
8042303,8042303,2,60
8042304,8042304,2,60
8042305,8042305,2,60
8042306,8042306,2,60
8042307,8042307,2,300
8042800,8042800,2,300
8042801,8042801,2,60
8042802,8042802,2,60
8042803,8042803,2,60
8042804,8042804,2,120
8042805,8042805,2,60
8042806,8042806,2,60
8042807,8042807,2,60
8042808,8042808,2,60
8042809,8042809,2,60
8042810,8042810,2,60
8049101,8049101,2,300
8049102,8049102,2,60
8049103,8049103,2,120
8049104,8049104,2,60
8051202,8051202,2,120
8051203,8051203,2,60
8051204,8051204,2,300
8051228,8051228,2,120
8051247,8051247,2,120
8060978,8060978,2,300
8060979,8060979,2,300
8061773,8061773,2,300
8061774,8061774,2,300
